Unnamed: 0,gu,x_longitude,y_latitude
138,중구,128.605088057912,35.87064234289979
139,중구,128.5811015183,35.8708307627325
140,중구,128.604826568552,35.870909831751106
141,중구,128.604890946628,35.871317183249005
142,중구,128.605365410506,35.87150534051921
143,중구,128.606330641938,35.856281081514204
144,중구,128.605092481423,35.871006206143996
145,중구,128.592604282292,35.8709938169857
146,중구,128.592354923676,35.8709581591715
147,중구,128.591627848901,35.870442607555795
148,중구,128.594235059101,35.8644629453135
149,중구,128.589237561222,35.8695839516672
150,중구,128.594363682805,35.8692809787919
151,중구,128.591391255572,35.869402010870296
152,중구,128.597619532024,35.8665383402596
153,중구,128.594577664981,35.8718914931682
154,중구,128.604718731015,35.869760736957005
155,중구,128.609646895786,35.8645679683278
156,중구,128.592205159862,35.868226852478706
157,중구,128.59596299993402,35.87038687327229
